colour	x	y	showSelectedlegendcolour	clickSelects	fill
#F8766D	0	0.929924242424242	EfficientNet-B0	EfficientNet-B0	#F8766D
#F8766D	1	0.921401515151515	EfficientNet-B0	EfficientNet-B0	#F8766D
#F8766D	2	0.924242424242424	EfficientNet-B0	EfficientNet-B0	#F8766D
#F8766D	3	0.933712121212121	EfficientNet-B0	EfficientNet-B0	#F8766D
#F8766D	4	0.890151515151515	EfficientNet-B0	EfficientNet-B0	#F8766D
#F8766D	5	0.938920454545454	EfficientNet-B0	EfficientNet-B0	#F8766D
#F8766D	6	0.940340909090909	EfficientNet-B0	EfficientNet-B0	#F8766D
#F8766D	7	0.919507575757575	EfficientNet-B0	EfficientNet-B0	#F8766D
#F8766D	8	0.93560606060606	EfficientNet-B0	EfficientNet-B0	#F8766D
#F8766D	9	0.941761363636363	EfficientNet-B0	EfficientNet-B0	#F8766D
#F8766D	10	0.946496212121212	EfficientNet-B0	EfficientNet-B0	#F8766D
#F8766D	11	0.941287878787878	EfficientNet-B0	EfficientNet-B0	#F8766D
#B79F00	12	0.926136363636363	EfficientNet-B5	EfficientNet-B5	#B79F00
#B79F00	13	0.911458333333333	EfficientNet-B5	EfficientNet-B5	#B79F00
#B79F00	14	0.903882575757575	EfficientNet-B5	EfficientNet-B5	#B79F00
#B79F00	15	0.938920454545454	EfficientNet-B5	EfficientNet-B5	#B79F00
#B79F00	16	0.93655303030303	EfficientNet-B5	EfficientNet-B5	#B79F00
#00BA38	17	0.940340909090909	EfficientViT-B3	EfficientViT-B3	#00BA38
#00BA38	18	0.945549242424242	EfficientViT-B3	EfficientViT-B3	#00BA38
#00BA38	19	0.941287878787878	EfficientViT-B3	EfficientViT-B3	#00BA38
#00BA38	20	0.931344696969697	EfficientViT-B3	EfficientViT-B3	#00BA38
#00BA38	21	0.943181818181818	EfficientViT-B3	EfficientViT-B3	#00BA38
#00BA38	22	0.945075757575757	EfficientViT-B3	EfficientViT-B3	#00BA38
#00BA38	23	0.937026515151515	EfficientViT-B3	EfficientViT-B3	#00BA38
#F564E3	24	0.954071969696969	ViT-Base-Patch8	ViT-Base-Patch8	#F564E3
#F564E3	25	0.944128787878787	ViT-Base-Patch8	ViT-Base-Patch8	#F564E3
#619CFF	26	0.95123106060606	ViT-Base-Patch16	ViT-Base-Patch16	#619CFF
#619CFF	27	0.943655303030303	ViT-Base-Patch16	ViT-Base-Patch16	#619CFF
#619CFF	28	0.942234848484848	ViT-Base-Patch16	ViT-Base-Patch16	#619CFF
#619CFF	29	0.955018939393939	ViT-Base-Patch16	ViT-Base-Patch16	#619CFF
#619CFF	30	0.95123106060606	ViT-Base-Patch16	ViT-Base-Patch16	#619CFF
#619CFF	31	0.952651515151515	ViT-Base-Patch16	ViT-Base-Patch16	#619CFF
#619CFF	33	0.955492424242424	ViT-Base-Patch16	ViT-Base-Patch16	#619CFF
#619CFF	34	0.952651515151515	ViT-Base-Patch16	ViT-Base-Patch16	#619CFF
#619CFF	35	0.954071969696969	ViT-Base-Patch16	ViT-Base-Patch16	#619CFF
#619CFF	36	0.952651515151515	ViT-Base-Patch16	ViT-Base-Patch16	#619CFF
#619CFF	37	0.957386363636363	ViT-Base-Patch16	ViT-Base-Patch16	#619CFF
#619CFF	38	0.957859848484848	ViT-Base-Patch16	ViT-Base-Patch16	#619CFF
#619CFF	39	0.946496212121212	ViT-Base-Patch16	ViT-Base-Patch16	#619CFF
#619CFF	40	0.954071969696969	ViT-Base-Patch16	ViT-Base-Patch16	#619CFF
#619CFF	41	0.956439393939393	ViT-Base-Patch16	ViT-Base-Patch16	#619CFF
#619CFF	42	0.955018939393939	ViT-Base-Patch16	ViT-Base-Patch16	#619CFF
#619CFF	43	0.95217803030303	ViT-Base-Patch16	ViT-Base-Patch16	#619CFF
#619CFF	44	0.958333333333333	ViT-Base-Patch16	ViT-Base-Patch16	#619CFF
#00BFC4	45	0.943655303030303	MViT-Base	MViT-Base	#00BFC4
#619CFF	32	0.93655303030303	ViT-Base-Patch16	ViT-Base-Patch16	#619CFF
