colour	x	y	showSelectedlegendcolour	fill
#F8766D	0	0.974504249291784	EfficientNet-B0	#F8766D
#F8766D	1	0.923295454545454	EfficientNet-B0	#F8766D
#F8766D	2	0.971751412429378	EfficientNet-B0	#F8766D
#F8766D	3	0.977272727272727	EfficientNet-B0	#F8766D
#F8766D	4	0.931818181818181	EfficientNet-B0	#F8766D
#F8766D	5	0.983050847457627	EfficientNet-B0	#F8766D
#F8766D	6	0.982954545454545	EfficientNet-B0	#F8766D
#F8766D	7	0.963172804532577	EfficientNet-B0	#F8766D
#F8766D	8	0.960339943342776	EfficientNet-B0	#F8766D
#F8766D	9	0.988668555240793	EfficientNet-B0	#F8766D
#F8766D	10	0.985835694050991	EfficientNet-B0	#F8766D
#F8766D	11	0.971671388101983	EfficientNet-B0	#F8766D
#B79F00	12	0.96011396011396	EfficientNet-B5	#B79F00
#B79F00	13	0.982954545454545	EfficientNet-B5	#B79F00
#B79F00	14	0.937853107344632	EfficientNet-B5	#B79F00
#B79F00	15	0.994350282485875	EfficientNet-B5	#B79F00
#B79F00	16	0.960339943342776	EfficientNet-B5	#B79F00
#00BA38	17	0.968926553672316	EfficientViT-B3	#00BA38
#00BA38	18	0.974504249291784	EfficientViT-B3	#00BA38
#00BA38	19	0.96045197740113	EfficientViT-B3	#00BA38
#00BA38	20	0.943181818181818	EfficientViT-B3	#00BA38
#00BA38	21	0.980225988700565	EfficientViT-B3	#00BA38
#00BA38	22	0.985875706214689	EfficientViT-B3	#00BA38
#00BA38	23	0.957507082152974	EfficientViT-B3	#00BA38
#F564E3	24	0.991501416430594	ViT-Base-Patch8	#F564E3
#F564E3	25	0.994334277620396	ViT-Base-Patch8	#F564E3
#619CFF	26	0.985875706214689	ViT-Base-Patch16	#619CFF
#619CFF	27	0.983050847457627	ViT-Base-Patch16	#619CFF
#619CFF	28	0.977272727272727	ViT-Base-Patch16	#619CFF
#619CFF	29	0.991525423728813	ViT-Base-Patch16	#619CFF
#619CFF	30	0.988636363636363	ViT-Base-Patch16	#619CFF
#619CFF	31	0.985835694050991	ViT-Base-Patch16	#619CFF
#619CFF	33	0.988700564971751	ViT-Base-Patch16	#619CFF
#619CFF	34	0.988700564971751	ViT-Base-Patch16	#619CFF
#619CFF	35	0.988668555240793	ViT-Base-Patch16	#619CFF
#619CFF	36	0.988668555240793	ViT-Base-Patch16	#619CFF
#619CFF	37	0.983002832861189	ViT-Base-Patch16	#619CFF
#619CFF	38	0.985835694050991	ViT-Base-Patch16	#619CFF
#619CFF	39	0.983002832861189	ViT-Base-Patch16	#619CFF
#619CFF	40	0.985835694050991	ViT-Base-Patch16	#619CFF
#619CFF	41	0.991525423728813	ViT-Base-Patch16	#619CFF
#619CFF	42	0.988700564971751	ViT-Base-Patch16	#619CFF
#619CFF	43	0.983050847457627	ViT-Base-Patch16	#619CFF
#619CFF	44	0.983050847457627	ViT-Base-Patch16	#619CFF
#00BFC4	45	0.96590909090909	MViT-Base	#00BFC4
#619CFF	32	0.983002832861189	ViT-Base-Patch16	#619CFF
